City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
2346995.0,yanam,57.0,NG,1596082635.0,97.0,10.61,12.19,20.34,3.6
1106677.0,lavrentiya,75.0,MU,1596082636.0,78.0,-20.34,57.76,22.78,5.1
1062663.0,tuktoyaktuk,20.0,MG,1596082637.0,73.0,-15.72,46.32,22.0,2.1
2063036.0,mount gambier,2.0,AU,1596082637.0,64.0,-34.73,135.87,15.38,0.91
6113406.0,grand river south east,1.0,CA,1596082540.0,72.0,54.32,-130.32,18.0,2.1
922704.0,thompson,0.0,CD,1596082639.0,91.0,-11.66,27.48,9.72,1.84
5546220.0,biu,1.0,US,1596082449.0,8.0,37.1,-113.58,34.0,0.48
8070858.0,bambous virieux,2.0,ID,1596082641.0,47.0,-6.8,111.5,29.35,1.9
5848280.0,mahajanga,20.0,US,1596082643.0,69.0,22.08,-159.32,27.0,7.7
2171099.0,port lincoln,51.0,AU,1596082645.0,67.0,-38.27,141.97,13.05,3.02
3395042.0,prince rupert,51.0,BR,1596082645.0,100.0,-0.12,-51.29,26.0,1.5
5866583.0,lubumbashi,1.0,US,1596082646.0,55.0,57.79,-152.41,17.0,3.6
933734.0,saint george,0.0,BW,1596082648.0,51.0,-20.18,25.23,10.35,3.17
504576.0,gambiran,90.0,RU,1596082649.0,93.0,54.87,37.22,17.0,4.0
4341378.0,kapaa,99.0,US,1596082382.0,90.0,30.4,-91.0,26.67,2.76
4032243.0,codrington,75.0,TO,1596082650.0,83.0,-21.2,-175.2,21.0,4.6
4033543.0,mazagao,75.0,PF,1596082650.0,78.0,-17.83,-149.27,27.0,7.2
5861897.0,belushya guba,1.0,US,1596082512.0,64.0,64.84,-147.72,20.0,1.5
1529651.0,kodiak,100.0,CN,1596082652.0,28.0,47.87,88.12,22.84,5.88
2126682.0,gweta,0.0,RU,1596082653.0,34.0,68.05,166.44,15.54,3.14
3984997.0,protvino,0.0,MX,1596082655.0,81.0,30.48,-115.95,19.91,5.69
1215502.0,shenandoah,100.0,ID,1596082577.0,63.0,5.56,95.32,29.92,3.17
